machine_id,day,action,duration_hrs,fail_prob,urgency,obj_score,priority,deadline_hrs,energy_cost_usd,day_multiplier
M1096,1.0,MAINTAIN,6,1.0,0.4285,57.09,3,7,2.34,1.2254081530453953
M2495,1.0,MAINTAIN,6,0.997,0.2718,86.14,3,11,6.58,1.2254081530453953
M6541,,DEFERRED,6,1.0,0.25,71.55,2,8,6.57,1.0
M4354,,DEFERRED,6,0.993,0.2482,88.53,3,12,6.55,1.0
M2859,1.0,MAINTAIN,4,0.997,0.2302,57.2,3,13,4.49,1.2254081530453953
M4643,,DEFERRED,6,1.0,0.2142,85.81,3,14,5.1,1.0
M4283,,DEFERRED,7,0.998,0.1996,81.94,3,15,5.86,1.0
M3929,,DEFERRED,6,1.0,0.1429,82.34,3,21,6.5,1.0
M8196,,DEFERRED,6,1.0,0.125,83.05,1,8,5.59,1.0
M4324,,DEFERRED,5,0.999,0.1248,66.55,2,16,4.26,1.0
M6479,,DEFERRED,7,0.651,0.1222,64.62,3,16,4.26,1.0
M4097,2.0,MAINTAIN,7,0.997,0.1107,82.37,3,27,7.81,1.2541226606869207
M9017,2.0,MAINTAIN,5,0.99,0.11,63.77,3,27,5.8,1.2541226606869207
M2167,,DEFERRED,5,0.995,0.103,65.97,3,29,2.74,1.0
M4749,,DEFERRED,7,1.0,0.1,95.72,1,10,5.6,1.0
M2076,,DEFERRED,7,0.999,0.0999,62.22,1,10,7.19,1.0
M9654,,DEFERRED,7,0.995,0.0995,57.99,2,20,6.73,1.0
M6526,,DEFERRED,6,1.0,0.0952,74.85,2,21,7.28,1.0
M5707,,DEFERRED,6,1.0,0.0909,55.88,2,22,6.81,1.0
M4045,,DEFERRED,6,0.875,0.0875,69.26,2,20,5.1,1.0
M4769,,DEFERRED,7,0.998,0.0868,66.02,2,23,6.09,1.0
M9577,,DEFERRED,6,0.972,0.0845,60.36,2,23,3.38,1.0
M8438,,DEFERRED,4,1.0,0.0833,57.22,1,12,3.91,1.0
M8583,,DEFERRED,6,1.0,0.08,79.63,2,25,7.24,1.0
M5733,,DEFERRED,7,0.813,0.0775,75.46,2,21,5.53,1.0
M4343,,DEFERRED,5,1.0,0.0769,72.87,2,26,5.5,1.0
M4420,,DEFERRED,6,0.999,0.0769,87.73,3,39,2.18,1.0
M7757,,DEFERRED,6,0.999,0.0769,63.26,2,26,5.97,1.0
M2880,,DEFERRED,5,1.0,0.0741,55.59,2,27,5.43,1.0
M4410,,DEFERRED,7,0.999,0.074,88.7,2,27,6.52,1.0
M4436,,DEFERRED,6,0.999,0.0714,82.18,3,42,5.25,1.0
M250,,DEFERRED,6,1.0,0.0698,85.15,3,43,5.95,1.0
M3685,,DEFERRED,5,1.0,0.0697,59.21,3,43,5.21,1.0
M8246,,DEFERRED,5,0.995,0.0679,52.0,3,44,5.62,1.0
M7082,,DEFERRED,5,0.735,0.0668,50.14,3,33,4.51,1.0
M070,,DEFERRED,7,1.0,0.0667,53.12,1,15,8.15,1.0
M1163,,DEFERRED,5,0.997,0.0664,68.79,2,30,5.02,1.0
M5486,,DEFERRED,7,0.873,0.0647,83.14,2,27,6.03,1.0
M3868,3.0,MAINTAIN,7,1.0,0.06,57.0,3,50,2.72,1.1757997117425298
M8200,3.0,MAINTAIN,7,0.981,0.0535,95.62,3,55,4.85,1.1757997117425298
M6669,,DEFERRED,7,0.875,0.053,49.74,2,33,5.09,1.0
M249,2.0,MAINTAIN,4,1.0,0.0526,59.49,3,57,4.88,1.2541226606869207
M4815,,DEFERRED,4,0.991,0.0508,54.77,2,39,3.73,1.0
M8193,,DEFERRED,7,1.0,0.05,90.57,1,20,7.05,1.0
M1596,,DEFERRED,7,0.999,0.0488,64.11,2,41,6.35,1.0
M3001,,DEFERRED,7,1.0,0.0484,80.75,3,62,8.48,1.0
M4756,,DEFERRED,5,0.999,0.0468,65.25,3,64,4.17,1.0
M4481,,DEFERRED,6,0.999,0.0465,53.59,2,43,5.43,1.0
M4362,,DEFERRED,7,0.997,0.0464,78.49,2,43,5.85,1.0
M8358,,DEFERRED,5,0.825,0.0458,54.0,1,18,4.03,1.0
M4407,,DEFERRED,7,1.0,0.0454,92.94,2,44,6.82,1.0
M5489,,DEFERRED,6,0.998,0.0434,90.09,2,46,5.7,1.0
M3357,,DEFERRED,7,0.999,0.0425,63.83,2,47,6.89,1.0
M8610,,DEFERRED,5,0.944,0.0423,64.52,3,67,3.75,1.0
M4559,,DEFERRED,7,1.0,0.0408,57.9,2,49,5.72,1.0
M4165,,DEFERRED,7,0.998,0.0391,98.24,2,51,5.62,1.0
M4371,,DEFERRED,6,1.0,0.0385,56.67,1,26,5.68,1.0
M4049,,DEFERRED,6,1.0,0.0384,78.36,1,26,2.46,1.0
M3363,,DEFERRED,7,0.794,0.0384,59.72,3,62,5.58,1.0
M5335,,DEFERRED,7,1.0,0.0377,81.93,2,53,2.33,1.0
M4118,,DEFERRED,7,0.999,0.0377,89.04,2,53,6.57,1.0
M5654,,DEFERRED,7,0.83,0.0371,67.29,3,67,4.84,1.0
M2245,,DEFERRED,6,0.816,0.0371,56.41,2,44,4.36,1.0
M1335,,DEFERRED,5,0.998,0.0369,60.67,2,54,4.21,1.0
M2762,,DEFERRED,4,1.0,0.0357,54.08,2,56,4.25,1.0
M1168,,DEFERRED,6,0.994,0.0349,66.22,2,57,5.39,1.0
M5220,,DEFERRED,4,1.0,0.0333,59.01,1,30,4.11,1.0
M4152,,DEFERRED,6,0.998,0.0333,58.64,1,30,4.97,1.0
