Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Machine_failure
M,298.1,308.6,1551,42.8,0,0
M,298.2,308.7,1408,46.3,3,0
H,298.1,308.5,1498,49.4,5,0
L,297.9,308.2,1620,35.1,12,0
M,299.0,309.3,1475,44.7,28,0
H,299.5,310.0,1430,51.2,45,0
M,299.8,310.1,1395,51.5,55,0
L,298.6,308.9,1580,37.4,70,0
H,300.1,310.5,1360,54.8,88,0
M,300.3,310.7,1340,56.2,105,0
L,298.8,309.1,1560,38.6,18,0
M,299.2,309.5,1460,45.9,35,0
H,299.7,310.2,1415,50.6,52,0
L,298.4,308.8,1595,36.3,8,0
M,300.0,310.4,1355,55.5,98,0
H,299.9,310.3,1375,53.1,78,0
L,297.6,307.9,1670,32.4,5,0
M,298.7,309.0,1490,43.5,22,0
H,300.2,310.6,1348,56.8,112,0
M,299.3,309.6,1448,47.2,40,0
L,297.7,308.0,1655,33.8,15,0
H,300.4,310.8,1325,58.3,125,0
M,299.6,309.9,1432,48.9,60,0
L,298.0,308.3,1630,34.7,9,0
H,300.5,311.0,1310,59.7,138,0
M,300.7,311.2,1295,61.1,152,0
H,300.6,311.0,1315,58.7,130,0
M,299.4,309.8,1420,48.7,145,0
H,300.8,311.3,1285,61.9,160,0
M,301.0,311.5,1270,63.4,175,0
H,301.2,311.8,1245,65.1,192,0
M,298.5,309.2,1380,52.4,198,0
H,301.5,312.0,1220,67.8,210,0
M,299.5,310.0,1350,55.3,218,0
H,301.8,312.3,1195,70.1,228,0
M,300.2,310.6,1310,58.1,235,0
H,302.0,312.5,1180,72.4,241,0
M,301.9,312.4,1185,71.8,238,1
H,302.1,312.6,1175,73.0,245,1
M,301.7,312.2,1200,70.5,233,1
H,300.9,311.4,1280,62.5,168,1
M,301.1,311.6,1265,64.0,182,0
H,301.3,311.9,1240,65.8,196,1
M,301.4,312.1,1230,66.9,207,0
H,301.6,312.2,1210,68.5,215,1
M,301.2,311.8,1255,64.7,188,0
H,302.2,312.7,1170,73.7,248,1
M,302.0,312.5,1178,72.1,243,1
H,302.3,312.8,1165,74.2,250,1
M,302.1,312.6,1172,72.9,246,1
H,300.3,310.7,1340,56.2,105,0
M,302.4,312.9,1160,75.0,252,1
H,300.7,311.2,1300,60.4,143,0
M,302.5,313.0,1158,75.5,253,1
H,301.0,311.5,1275,62.8,165,0
M,299.9,310.3,1368,54.1,92,0
H,302.6,313.1,1155,75.9,251,1
M,300.8,311.3,1288,61.5,155,0
H,300.0,310.4,1358,55.0,100,0
M,302.3,312.8,1163,74.5,249,1
H,298.3,308.7,1540,41.5,10,0
M,302.2,312.7,1168,73.8,247,1
H,298.9,309.2,1505,47.0,30,0
M,299.1,309.4,1468,45.3,33,0
H,301.4,312.1,1235,66.3,202,1
M,300.4,310.8,1328,57.4,118,0
H,301.9,312.4,1190,71.2,236,1
M,298.8,309.1,1485,44.0,20,0
H,299.6,310.1,1422,50.0,50,0
M,300.1,310.5,1345,56.5,108,0
H,301.1,311.6,1260,64.3,185,0
M,299.7,310.2,1410,49.3,58,0
H,299.3,309.6,1445,48.0,42,0
M,301.3,311.9,1248,65.4,195,1
H,298.5,308.9,1530,42.2,7,0
M,300.9,311.4,1283,62.0,162,0
H,301.7,312.2,1205,69.2,222,1
M,298.0,308.3,1570,38.0,2,0
H,300.5,311.0,1305,60.0,140,0
M,301.6,312.1,1215,68.0,212,1
H,299.8,310.3,1388,52.8,72,0
M,302.0,312.5,1175,72.5,244,1
H,298.6,309.0,1520,43.0,14,0
M,300.6,311.1,1298,60.8,148,0
H,301.8,312.3,1198,70.8,230,1
M,299.0,309.3,1478,44.4,26,0
H,302.4,312.9,1162,74.8,251,1
M,300.0,310.4,1360,54.5,95,0
H,299.2,309.5,1455,47.5,38,0
M,301.5,312.0,1225,67.2,208,1
H,298.2,308.6,1545,41.0,6,0
M,302.1,312.6,1170,73.2,246,1
H,300.1,310.5,1355,55.2,102,0
M,299.5,309.9,1435,48.4,57,0
H,301.2,311.8,1248,65.8,193,1
M,298.4,308.8,1560,39.5,16,0
H,302.0,312.5,1180,72.0,242,1
M,300.3,310.7,1338,56.8,110,0
