Model,Train MAE,Train RMSE,Train R²,Train MAPE (%),Test MAE,Test RMSE,Test R²,Test MAPE (%),Overfitting,Training Time (s)
Neural Network,0.46,0.87,0.9993,3.41,0.54,0.93,0.9991,76983846630622.36,No,12.22
XGBoost,0.47,0.81,0.9994,3.25,0.62,1.1,0.9988,161930892067932.1,No,0.84
LightGBM,0.63,1.14,0.9989,3.91,0.68,1.21,0.9985,163349571477983.75,No,0.54
Gradient Boosting,0.67,1.18,0.9988,4.04,0.74,1.3,0.9983,204885743381326.16,No,39.31
Random Forest,0.49,1.12,0.9989,1.88,0.72,1.44,0.9979,164484298582302.06,No,46.71
Lasso Regression,2.23,4.21,0.9846,12.01,1.89,3.06,0.9905,291214025427631.25,No,0.2
Ridge Regression,2.31,4.08,0.9856,15.72,2.09,3.16,0.9899,541601950913270.5,No,0.09
Linear Regression,2.31,4.08,0.9856,15.71,2.09,3.16,0.9899,540977092524694.25,No,0.02
ElasticNet,2.63,4.52,0.9823,19.3,2.29,3.43,0.9881,920385567176150.8,No,0.09
KNN Regressor,0.0,0.0,1.0,0.0,2.77,5.14,0.9732,201657454814487.5,No,0.01
