Usage_kWh,Lagging_Current_Reactive_Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2tCO2,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type,hour,minute,day_of_week_num,is_weekend,energy_per_co2,shift,hour_sin,hour_cos,day_sin,day_cos,load_Light_Load,load_Maximum_Load,load_Medium_Load,load_ordinal,total_reactive_power,pf_deviation_from_ideal,energy_lag_1,reactive_lag_1,energy_lag_4,reactive_lag_4,energy_lag_96,reactive_lag_96,energy_rmean_4,energy_rstd_4
3.2,3.1,0.0,0.0,71.82,100.0,900,Weekday,Tuesday,Light_Load,0,15,1,0,3200000.0000000005,2,0.0,1.0,0.7818314824680298,0.6234898018587336,True,False,False,0,3.1,28.180000000000007,3.42,3.46,3.53,3.42,3.17,2.95,3.3825,0.2142234036389739
3.85,4.61,0.0,0.0,64.1,100.0,1800,Weekday,Tuesday,Light_Load,0,30,1,0,3850000.0000000005,2,0.0,1.0,0.7818314824680298,0.6234898018587336,True,False,False,0,4.61,35.900000000000006,3.2,3.1,3.24,2.95,4.0,4.46,3.5349999999999997,0.28454642269174063
3.28,3.67,0.0,0.0,66.64,100.0,2700,Weekday,Tuesday,Light_Load,0,45,1,0,3280000.0,2,0.0,1.0,0.7818314824680298,0.6234898018587336,True,False,False,0,3.67,33.36,3.85,4.61,3.67,3.96,3.24,3.28,3.4375,0.28964058187116454
3.35,3.6,0.0,0.0,68.12,100.0,3600,Weekday,Tuesday,Light_Load,1,0,1,0,3350000.0000000005,2,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,True,False,False,0,3.6,31.879999999999995,3.28,3.67,3.42,3.46,3.31,3.56,3.4200000000000004,0.29314387821227555
3.89,4.72,0.0,0.0,63.6,100.0,4500,Weekday,Tuesday,Light_Load,1,15,1,0,3890000.0000000005,2,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,True,False,False,0,4.72,36.4,3.35,3.6,3.2,3.1,3.82,4.5,3.5925000000000002,0.32211540375047815
3.28,3.53,0.0,0.0,68.07,100.0,5400,Weekday,Tuesday,Light_Load,1,30,1,0,3280000.0,2,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,True,False,False,0,3.53,31.930000000000007,3.89,4.72,3.85,4.61,3.28,3.56,3.45,0.295183558711073
3.46,3.96,0.0,0.0,65.8,100.0,6300,Weekday,Tuesday,Light_Load,1,45,1,0,3460000.0,2,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,True,False,False,0,3.96,34.2,3.28,3.53,3.28,3.67,3.6,4.14,3.4949999999999997,0.27355681920459135
3.78,4.82,0.0,0.0,61.71,100.0,7200,Weekday,Tuesday,Light_Load,2,0,1,0,3780000.0,2,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,True,False,False,0,4.82,38.29,3.46,3.96,3.35,3.6,3.6,4.28,3.6025,0.28194266556636455
3.31,3.53,0.0,0.0,68.4,100.0,8100,Weekday,Tuesday,Light_Load,2,15,1,0,3310000.0,2,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,True,False,False,0,3.53,31.599999999999994,3.78,4.82,3.89,4.72,3.28,3.64,3.4574999999999996,0.22896506283710621
3.6,4.36,0.0,0.0,63.67,100.0,9000,Weekday,Tuesday,Light_Load,2,30,1,0,3600000.0000000005,2,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,True,False,False,0,4.36,36.33,3.31,3.53,3.28,3.53,3.78,4.72,3.5374999999999996,0.2003954423966109
3.64,4.39,0.0,0.0,63.83,100.0,9900,Weekday,Tuesday,Light_Load,2,45,1,0,3640000.0000000005,2,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,True,False,False,0,4.39,36.17,3.6,4.36,3.46,3.96,3.46,4.03,3.5825,0.19737865470545043
3.28,3.71,0.0,0.0,66.24,100.0,10800,Weekday,Tuesday,Light_Load,3,0,1,0,3280000.0,2,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,True,False,False,0,3.71,33.760000000000005,3.64,4.39,3.78,4.82,3.24,3.64,3.4575000000000005,0.1887458608817688
3.71,4.57,0.0,0.0,63.03,100.0,11700,Weekday,Tuesday,Light_Load,3,15,1,0,3710000.0,2,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,True,False,False,0,4.57,36.97,3.28,3.71,3.31,3.53,3.96,4.97,3.5575,0.19050371824892776
3.56,4.03,0.0,0.0,66.21,100.0,12600,Weekday,Tuesday,Light_Load,3,30,1,0,3560000.0,2,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,True,False,False,0,4.03,33.790000000000006,3.71,4.57,3.6,4.36,3.31,3.74,3.5475,0.18856917386819483
3.24,3.49,0.0,0.0,68.04,100.0,13500,Weekday,Tuesday,Light_Load,3,45,1,0,3240000.0000000005,2,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,True,False,False,0,3.49,31.959999999999994,3.56,4.03,3.64,4.39,3.31,3.85,3.4475000000000002,0.2255918142722969
3.89,4.64,0.0,0.0,64.25,100.0,14400,Weekday,Tuesday,Light_Load,4,0,1,0,3890000.0000000005,2,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,True,False,False,0,4.64,35.75,3.24,3.49,3.28,3.71,3.89,5.0,3.6000000000000005,0.27531799795872447
3.28,3.42,0.0,0.0,69.22,100.0,15300,Weekday,Tuesday,Light_Load,4,15,1,0,3280000.0,2,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,True,False,False,0,3.42,30.78,3.89,4.64,3.71,4.57,3.28,3.82,3.4925,0.300818328342318
3.28,3.49,0.0,0.0,68.48,100.0,16200,Weekday,Tuesday,Light_Load,4,30,1,0,3280000.0,2,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,True,False,False,0,3.49,31.519999999999996,3.28,3.42,3.56,4.03,3.56,4.28,3.4225,0.3122365556219618
3.96,4.68,0.0,0.0,64.59,100.0,17100,Weekday,Tuesday,Light_Load,4,45,1,0,3960000.0,2,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,True,False,False,0,4.68,35.41,3.28,3.49,3.24,3.49,3.74,4.54,3.6025,0.37348583194904095
3.24,3.42,0.0,0.0,68.77,100.0,18000,Weekday,Tuesday,Light_Load,5,0,1,0,3240000.0000000005,2,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,True,False,False,0,3.42,31.230000000000004,3.96,4.68,3.89,4.64,3.31,3.6,3.4399999999999995,0.34717910843444055
3.46,3.78,0.0,0.0,67.52,100.0,18900,Weekday,Tuesday,Light_Load,5,15,1,0,3460000.0,2,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,True,False,False,0,3.78,32.480000000000004,3.24,3.42,3.28,3.42,3.56,4.07,3.485,0.3308070938376824
3.67,4.07,0.0,0.0,66.97,100.0,19800,Weekday,Tuesday,Light_Load,5,30,1,0,3670000.0,2,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,True,False,False,0,4.07,33.03,3.46,3.78,3.28,3.49,3.56,4.1,3.5825,0.3068522988887873
3.24,3.42,0.0,0.0,68.77,100.0,20700,Weekday,Tuesday,Light_Load,5,45,1,0,3240000.0000000005,2,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,True,False,False,0,3.42,31.230000000000004,3.67,4.07,3.96,4.68,3.28,3.49,3.4025000000000003,0.20629671188201906
3.67,3.96,0.0,0.0,67.97,100.0,21600,Weekday,Tuesday,Light_Load,6,0,1,0,3670000.0,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,True,False,False,0,3.96,32.03,3.24,3.42,3.24,3.42,3.78,4.32,3.5100000000000002,0.2054263858417415
3.53,3.78,0.0,0.0,68.25,100.0,22500,Weekday,Tuesday,Light_Load,6,15,1,0,3530000.0,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,True,False,False,0,3.78,31.75,3.67,3.96,3.46,3.78,3.35,3.64,3.5275,0.2027107956342405
3.2,3.24,0.0,0.0,70.27,100.0,23400,Weekday,Tuesday,Light_Load,6,30,1,0,3200000.0000000005,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,True,False,False,0,3.24,29.730000000000004,3.53,3.78,3.67,4.07,3.24,3.35,3.41,0.22730302828309648
